person_id,Form A _1,1_Q295,2_Q295,3_Q295,4_Q295,5_Q295,6_Q295,7_Q295,8_Q295,9_Q295,10_Q295,11_Q295,12_Q295,13_Q295,14_Q295,15_Q295,16_Q295,17_Q295,18_Q295,19_Q295,20_Q295,21_Q295,22_Q295,23_Q295,24_Q295,25_Q295,26_Q295,27_Q295,28_Q295,29_Q295,30_Q295,31_Q295,32_Q295,33_Q295,34_Q295,35_Q295,36_Q295,37_Q295,38_Q295,39_Q295,40_Q295,base_rate,outcome_bias,sunk_cost,Allais,disease,linda,african,redwood,absolute,Myside,less_is_more,Thaler,matching
bf785,,1,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,70,success,no,2,loss,conjunction,low,high,calculator,Germany,A,WTP_non_certainty,1
r11kw,,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,1,70,failure,yes,1,gain,conjunction,high,high,jacket,Germany,C,WTP_certainty,2
t3mwb,83,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,30,failure,no,2,loss,no_conjunction,low,low,calculator,Ford,B,WTP_non_certainty,2
cmmpb,81,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,30,failure,yes,1,loss,conjunction,high,low,jacket,Germany,C,WTP_certainty,1
afrls,30,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,30,success,yes,1,gain,conjunction,low,high,calculator,Ford,C,WTP_certainty,2
ztc36,40,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,30,success,yes,1,gain,no_conjunction,high,high,jacket,Ford,A,WTP_certainty,1
lx6ix,30,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,2,2,2,2,1,30,failure,no,1,loss,conjunction,low,low,jacket,Germany,B,WTP_certainty,1
2bpor,30,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,30,success,yes,1,loss,no_conjunction,low,high,calculator,Germany,B,WTP_non_certainty,2
uo96e,,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,70,failure,yes,2,gain,conjunction,low,high,calculator,Germany,A,WTP_certainty,1
ayss6,30,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,30,success,no,2,loss,conjunction,high,low,jacket,Germany,A,WTP_non_certainty,1
hfvpz,30,2,1,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,2,2,30,success,no,1,loss,conjunction,high,high,calculator,Ford,A,WTP_non_certainty,2
b9jzt,,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,70,failure,yes,2,gain,conjunction,high,low,calculator,Ford,B,WTP_non_certainty,2
7vnea,,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,70,failure,no,1,loss,conjunction,low,low,jacket,Germany,C,WTA_certainty,2
wfreb,,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,70,success,no,2,loss,conjunction,high,low,jacket,Ford,A,WTA_certainty,2
o9a24,,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,1,2,2,1,1,70,failure,no,2,gain,conjunction,low,low,calculator,Ford,A,WTA_certainty,2
iueq4,,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,1,1,70,failure,no,1,loss,no_conjunction,low,high,jacket,Germany,C,WTP_certainty,2
zlfti,,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,70,failure,yes,2,loss,conjunction,low,low,calculator,Germany,A,WTP_non_certainty,2
uy2vm,,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,70,failure,no,2,gain,no_conjunction,low,low,calculator,Germany,A,WTP_non_certainty,1
nz9w1,,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,70,success,yes,2,loss,no_conjunction,high,low,jacket,Ford,C,WTA_certainty,1
twpda,39,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,30,failure,yes,2,gain,no_conjunction,low,low,calculator,Germany,A,WTP_certainty,1
mxuqf,,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,70,success,no,1,loss,no_conjunction,low,low,jacket,Ford,C,WTP_certainty,1
zgz4t,,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,70,success,no,2,loss,conjunction,low,low,jacket,Ford,B,WTP_non_certainty,2
amf2x,,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,70,success,yes,1,gain,conjunction,low,high,calculator,Germany,C,WTP_certainty,2
g89mx,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,70,success,no,1,gain,conjunction,low,high,jacket,Ford,B,WTP_certainty,2
0ldjp,64,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,success,yes,2,loss,no_conjunction,low,high,jacket,Ford,C,WTP_non_certainty,2
egrrg,,2,2,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,2,70,failure,no,1,gain,conjunction,high,high,calculator,Ford,B,WTP_non_certainty,2
sw55g,,1,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,70,success,no,2,gain,no_conjunction,low,low,jacket,Ford,B,WTA_certainty,2
a8aho,,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,1,1,70,success,no,2,loss,conjunction,low,high,calculator,Ford,A,WTP_non_certainty,1
8ij30,,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,70,success,no,2,gain,conjunction,low,low,calculator,Germany,B,WTA_certainty,2
33a05,,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,70,failure,yes,2,loss,no_conjunction,low,high,calculator,Ford,A,WTA_certainty,1
qu2by,70,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,30,success,yes,2,gain,conjunction,high,high,calculator,Ford,A,WTP_non_certainty,1
qn6ki,30,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,30,failure,no,1,gain,no_conjunction,high,low,jacket,Ford,A,WTP_non_certainty,1
9duy2,,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,70,failure,yes,1,loss,no_conjunction,low,low,jacket,Ford,B,WTA_certainty,2
z2bfu,50,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,30,failure,yes,2,loss,conjunction,low,low,jacket,Ford,A,WTP_certainty,1
stahe,100,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,2,30,success,yes,1,gain,conjunction,high,high,jacket,Germany,C,WTP_certainty,2
7e5rr,80,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,30,success,no,1,loss,conjunction,high,low,calculator,Germany,A,WTP_certainty,2
cmjtd,30,1,2,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,30,success,yes,1,loss,no_conjunction,high,high,calculator,Germany,B,WTP_certainty,1
hetd5,,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,70,success,no,2,gain,conjunction,high,high,calculator,Germany,A,WTP_certainty,1
uk2vf,30,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,30,success,no,1,loss,no_conjunction,low,high,jacket,Germany,A,WTP_certainty,1
4wcis,30,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,30,failure,yes,1,gain,conjunction,high,low,jacket,Ford,C,WTP_non_certainty,2
b8zaq,80,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,30,success,no,2,loss,conjunction,high,high,jacket,Germany,A,WTP_non_certainty,1
wdfyy,,2,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,70,success,no,1,gain,conjunction,low,high,jacket,Germany,A,WTP_certainty,2
dg0ss,,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,70,failure,yes,1,loss,conjunction,low,low,calculator,Germany,A,WTA_certainty,2
l7xza,,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,70,failure,no,2,loss,no_conjunction,high,low,jacket,Ford,A,WTP_certainty,1
x8lvd,,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,70,success,no,2,gain,no_conjunction,low,low,jacket,Ford,B,WTP_certainty,2
mtom9,,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,2,2,70,success,no,1,gain,no_conjunction,high,low,calculator,Germany,C,WTP_certainty,2
lclop,80,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,30,failure,no,1,gain,conjunction,high,high,calculator,Ford,C,WTA_certainty,2
wrvfk,80,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,30,success,no,1,loss,no_conjunction,high,high,jacket,Germany,A,WTA_certainty,1
evqeq,42,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,30,success,yes,2,gain,no_conjunction,high,high,jacket,Germany,B,WTA_certainty,1
ncyc2,46,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,30,failure,no,1,gain,no_conjunction,high,low,calculator,Ford,C,WTP_non_certainty,2
ridfr,86,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,30,failure,no,1,loss,conjunction,high,low,calculator,Ford,C,WTA_certainty,2
o3lxf,,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,70,failure,yes,2,loss,no_conjunction,low,high,calculator,Germany,A,WTA_certainty,1
ek9iq,76,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,30,failure,yes,2,gain,conjunction,low,high,jacket,Ford,A,WTA_certainty,2
3uy58,80,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,30,success,yes,1,gain,no_conjunction,low,high,calculator,Germany,B,WTA_certainty,1
